Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
09-05-2024,2023,KNTK,Kinetik Holdings Inc,1256.412,2020748.926,1608.3489540055332,Durango Permian LLC,Morgan Stanley Energy Partners,315.0,,Completed
30-04-2024,2023,PWR,Quanta Services Inc,20882.206,988361.193,47.33030566789735,Sherman + Reilly Inc,Greenlee Textron Inc,,,Completed
29-04-2024,2023,TMHC,Taylor Morrison Home Corp,7417.831,117397.114,15.826339802025686,Pyatt Builders LLC,,,,Completed
26-04-2024,2023,APO,Apollo Global Management Inc,32781.0,1182.0,0.03605747231628077,US Silica Holdings Inc,,1850.0,4.32,Completed
15-04-2024,2023,EQNR,Equinor ASA,106848.0,11449109.44,107.15324049116501,Non-operated natural gas assets/EQT Corp,EQT Corp,500.0,,Completed
01-04-2024,2023,AM,Antero Midstream Corp,1041.771,1021615.7715,980.6529184436888,Gathering & compression assets/Summit Midstream Partners LP,Summit Midstream Partners LP,70.0,,Completed
01-04-2024,2023,WTTR,Select Water Solutions Inc,1585.353,244677.912,154.33654965171795,Trinity Environmental Services LLC,,,,Completed
29-03-2024,2023,LUV,Southwest Airlines Co,26091.0,20684739.36,792.7921260204668,SAFFiRE Renewables LLC,,,,Completed
22-03-2024,2023,MPLX,MPLX LP,11281.0,5401376.567,478.8029932630086,Summit Midstream Utica LLC,Summit Midstream Partners LP,625.0,,Completed
22-03-2024,2023,REPX,Riley Exploration Permian Inc,375.047,84832.27,226.19103738998047,Upstream oil & gas assets/Eddy County,Contango Oil & Gas Co,20.5,,Completed
18-03-2024,2023,INVX,Innovex International Inc,555.539,8890.858063,16.00402143323871,Innovex Downhole Solutions Inc,,739.4,7.13,Completed
12-03-2024,2023,BLK,BlackRock Inc,17859.0,6689.0,0.3745450473150792,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Excelsior Energy Capital LP,,,Completed
11-03-2024,2023,EQT,EQT Corp,5647.763,334460.4355,59.21998417780633,Equitrans Midstream Corp,,12880.88,12.38,Completed
11-03-2024,2023,ACA,Arcosa Inc,2307.9,269401.5,116.73014428701417,Ameron Pole Products LLC,NOV Inc,180.0,,Completed
05-03-2024,2023,TALO,Talos Energy Inc,1457.886,646960.3,443.7660420636456,Quarternorth Energy Holding Inc,,,,Completed
29-02-2024,2023,LUV,Southwest Airlines Co,26091.0,20684739.36,792.7921260204668,LanzaJet Inc,,30.0,,Completed
21-02-2024,2023,WEC,WEC Energy Group Inc,8893.0,19011373.22,2137.790759023951,Samson I solar energy center/Wisconsin,,28.1,,Completed
12-02-2024,2023,FANG,Diamondback Energy Inc,8302.0,1568750.324,188.96053047458443,Endeavor Energy Resources LP,,24997.05,,Completed
10-02-2024,2023,SHEL,Shell PLC,316620.0,40524988.2245,127.99250907870633,45 fuel & convenience store sites/New Mexico,Brewer Oil Co,,,Completed
