Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Price_Status
06-01-2025,ALTO,Alto Ingredients Inc,Kodiak Carbonic LLC,,7.25,,Completed,2024-12-26,1.66,2025-01-16,1.81,Success
31-12-2024,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,Completed,2024-12-20,100.91,2025-01-10,103.49,Success
31-12-2024,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,Completed,2024-12-20,28.03,2025-01-10,26.25,Success
24-12-2024,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,Completed,2024-12-13,239.07,2025-01-03,252.4,Success
18-12-2024,YPF.SG,YPF SA,Mobil Argentina SA,Exxon Mobil Corp,327.0,,Completed,,,,,No valid trading days found
18-12-2024,STSFF,Smartstop Self Storage REIT Inc,Class A self-storage facility/Aurora,,,,Completed,2024-12-06,8.8,2024-12-30,8.95,Success
13-12-2024,DKL,Delek Logistics Partners LP,Gravity water midstream division/Gravity Oilfield Services Inc,Gravity Oilfield Services Inc,285.0,,Completed,2024-12-02,38.94,2024-12-23,39.86,Success
09-12-2024,FRU.TO,Freehold Royalties Ltd,Mineral title & royalty interests/Midland Basin,,216.0,,Completed,2024-11-28,13.66,2024-12-19,12.03,Success
05-12-2024,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,Completed,2024-11-22,41.09,2024-12-16,36.9,Success
05-12-2024,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,Completed,2024-11-22,4.17,2024-12-16,3.81,Success
04-12-2024,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,Completed,2024-11-22,15.28,2024-12-16,14.21,Success
03-12-2024,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,Completed,2024-11-22,37.35,2024-12-13,35.91,Success
03-12-2024,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,Completed,2024-11-22,13.91,2024-12-13,11.94,Success
03-12-2024,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,Completed,2024-11-22,26.03,2024-12-13,22.73,Success
02-12-2024,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,Completed,2024-11-21,16.2,2024-12-12,15.11,Success
02-12-2024,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,Completed,2024-11-21,17.36,2024-12-12,13.22,Success
27-11-2024,HDRO.V,Primary Hydrogen Corp,"131 claims Mary's Harbour hydrogen project/Labrador,211 claims Point Rosie hydrogen Project/Newfoundland",,,,Completed,2024-11-14,0.48,2024-12-11,0.47,Success
26-11-2024,DNOW,DNOW Inc,Trojan Rentals LLC,,,,Completed,2024-11-15,14.37,2024-12-06,14.63,Success
