Announce Date,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
2021-07-28,"AES Corp/The,Schneider Electric SE,Coatue Management LLC (Fund: Coatue Early Stage Fund LP),Inclusive Capital Partners LP,Huck Capital Management LLC (Fund: Huck Capital Fund I LP)",Uplight Inc,Rubicon Technology Partners,,,Completed
2021-07-27,FOBI AI INC,Qples Inc,,1.22,,Completed
2021-07-27,High Arctic Energy Services Inc,17 modern hydraulic catwalks,,0.87,,Completed
2021-07-27,Shell PLC,Inspire Energy Capital LLC,,,,Completed
2021-07-23,ACT Energy Technologies Ltd,Directional drilling business/Precision Drilling Corp,Precision Drilling Corp,514.85,,Completed
2021-07-23,ACT Energy Technologies Ltd,Sitka Exploration Ltd,,,,Completed
2021-07-23,Duke Energy Corp,CNG fueling station/South Carolina,Spire Inc,,,Completed
2021-07-22,Greenalia SA,Unnamed Target,,,,Completed
2021-07-22,Greenalia SA,670 MW solar project/Texas,,,,Completed
2021-07-22,Avanti Helium Corp,15 new Montana gross sections,,,,Completed
2021-07-21,Whiting Petroleum Corp,Oil & gas assets/Williston Basin,,271.0,,Completed
2021-07-21,Kraken Robotics Inc,PanGeo Subsea Inc,"Cahill Innovation Inc,Argentum Asset Management AS",23.0,,Completed
2021-07-21,Microsoft Corp,CloudKnox Security Inc,"Dell Ventures LP (Fund: Dell Strategic Innovation Venture Fund),Unknown Seller,Foundation Capital LLC (Fund: Foundation Capital VIII LP),Sorenson Capital (Fund: Sorenson Ventures LP),NextEra Energy Inc (Fund: Clearsky Security Fund I LLC),Wipro Ventures Ltd (Fund: Wipro Venture Capital Fund I...",,,Completed
2021-07-19,Lithium One Metals Inc,450 hectare Parkview claims/Newfoundland,,0.22,,Completed
2021-07-19,American Energy Partners Inc,Unlimited Energy Services LLC,,,,Completed
2021-07-16,Kinder Morgan Inc,Kinetrex Energy,Parallel49 Equity,310.0,,Completed
2021-07-16,Volatus Capital Corp,4122 hectares Bentley Property/Smithers,,0.03,,Completed
2021-07-14,Superior Plus Corp,"High Country Propane Inc,Kamps Propane Inc,Kiva Energy Inc,Competitive Capital Inc,Pick Up Propane Inc,Propane Construction & Meter Services",,240.0,,Completed
2021-07-14,Ormat Technologies Inc,TG Geothermal Portfolio LLC,,171.0,,Completed
2021-07-14,EVgo Inc,Recargo Inc,Innogy SE/DE,25.0,,Completed
2021-07-14,XState Resources Ltd,Oil producing asset/Alberta,,1.0,,Completed
2021-07-13,Altus Power Inc,Altus Power America Inc,,678.0,,Completed
2021-07-13,Enel SpA,Portfolio of 3.2 GW solar plus storage projects,"RWE AG,Dakota Power Partners LLC",,,Completed
2021-07-13,BP PLC,Thorntons Inc,ArcLight Capital Partners LLC,,,Completed
2021-07-13,Solar Integrated Roofing Corp,US Solar Network LLC,,,,Completed
2021-07-12,Ranger Oil Corp,Lonestar Resources US Inc,,558.86,6.74,Completed
2021-07-12,Select Water Solutions Inc,Complete Energy Services LLC,Superior Energy Services Inc,36.44,,Completed
2021-07-12,Cleantek Industries Inc,Cleantek Industries Inc/Old,,,,Completed
2021-07-09,Kinder Morgan Inc,Twin Tier Pipeline LLC,"Consolidated Edison Inc,Crestwood Equity Partners LP",30.0,,Completed
2021-07-09,Ranger Energy Services Inc,PerfX Wireline Services LLC,,19.54,,Completed
2021-07-09,Mesa Royalty Trust,Portfolio of mininral,,,,Completed
2021-07-08,Contango Oil & Gas Co,Low decline conventional gas assets/Wyoming,ConocoPhillips,67.0,,Completed
2021-07-07,Heliogen Inc,Heliogen Holdings Inc,,415.0,,Completed
2021-07-07,I3 Energy PLC,Certain conventional central petroleum & infrastructure assets,Cenovus Energy Inc,52.07,,Completed
2021-07-07,Geospace Technologies Corp,Aquana LLC,,1.4,,Completed
2021-07-06,Patterson-UTI Energy Inc,Pioneer Energy Services Corp,,425.8,21.42,Completed
2021-07-05,"Oaktree Capital Management LP,Diversified Energy Co PLC",Cotton Valley & Haynesville upstream assets/US,Tanos Energy III LLC,308.0,,Completed
2021-07-05,ChampionX Corp,Scientific Aviation Inc,,,,Completed
2021-07-02,SPI Energy Co Ltd,Shared Technologies Inc,Arrow Electronics Inc,,,Completed
2021-07-02,VivoPower International PLC,Portfolio of solar development/US,Innovative Solar Systems LLC,,,Completed
2021-07-02,BASF SE,Zodiac Enterprises LLC,,,,Completed
2021-07-01,Cadiz Inc,220 mile Northern Pipeline,Kinder Morgan Inc,19.0,,Completed
2021-07-01,Enterprise Products Partners LP,Ethylene Storage Business/NOVA Chemicals Corp,NOVA Chemicals Corp,,,Completed
2021-06-30,Celanese Corp,Santoprene synthetic rubber business/ExxonMobil,Exxon Mobil Corp,1150.0,,Completed
2021-06-30,Enlight Renewable Energy Ltd,Clenera LLC,,433.0,,Completed
2021-06-30,Innergex Renewable Energy Inc,Energia LLaima SpA,,71.21,,Completed
2021-06-30,Power Corp of Canada,Portfolio of 60MW fully-operational solar projects/New York,,,,Completed
2021-06-24,Ensign Energy Services Inc,Portfolio of 35 land-based drilling rigs & certain real property,Nabors Industries Ltd,95.36,,Completed
2021-06-24,Journey Energy Inc,Briko Energy Corp,,5.31,,Completed
2021-06-23,Mosman Oil & Gas Ltd,Nadsoilco LLC,,1.1,,Completed
2021-06-23,New America Energy Corp,Third Bench Holdings LLC,,,,Completed
2021-06-23,Solar Alliance Energy Inc,389 KW solar project,Abundant Solar Power Inc,,,Completed
2021-06-22,Surge Energy Inc,Astra Oil Corp,,123.26,,Completed
2021-06-22,Spartan Delta Corp,Gold Creek & Simonette,,8.19,,Completed
2021-06-14,Earthstone Energy Inc,Eagle Ford/Gonzales County,"Unknown Seller,Titanium Exploration Partners LLC",48.0,,Completed
2021-06-14,JPMorgan Chase & Co,Triangle Petroleum Corp,,,,Completed
2021-06-13,ConocoPhillips,Permian Basin properties,Shell PLC,9500.0,,Completed
2021-06-11,Tourmaline Oil Corp,Black Swan Energy Ltd,,920.53,,Completed
2021-06-10,Sparq Systems Inc,Sparq Systems Inc,,,,Completed
2021-06-08,Regions Financial Corp,EnerBank USA,CMS Energy Corp,960.0,,Completed
2021-06-08,Apollo Global Management Inc,Total Operations & Production Services LLC,Black Bay Energy Capital LLC,,,Completed
2021-06-08,Vision Marine Technologies Inc,EB Rental Ltd,,,,Completed
2021-06-07,Enviva Inc,Wood pellet production plant/Lucedale,Enviva Holdings LP,345.0,,Completed
2021-06-07,88 Energy Ltd,Project Peregrine/US,Alaska Peregrine Development Co LLC,14.0,,Completed
2021-06-07,"Civitas Resources Inc,Extraction Oil & Gas Inc",Crestone Peak Resources LLC,"Canada Pension Plan Investment Board,Private Investor",,,Completed
2021-06-04,Global Tech Industries Group Inc,Andy Warhol gelatin silver print of Bianca Jagger,,,,Completed
2021-06-02,Southwestern Energy Co,Indigo Natural Resources LLC,,2700.0,,Completed
2021-06-02,Berkshire Hathaway Inc,54 MW Independence wind energy project/Iowa,RPM Access LLC,,,Completed
2021-06-01,Kinder Morgan Inc,Stagecoach Gas Services LLC,"Consolidated Edison Inc,Crestwood Equity Partners LP",1225.0,,Completed
2021-06-01,Cardinal Energy Ltd,Venturion Oil Ltd,,39.21,,Completed
2021-06-01,BP PLC,9 GWT solar projects/US1,7x Energy Inc,,,Completed
2021-05-31,Laredo Oil Inc,Stranded Oil Resources Corp,,0.42,,Completed
2021-05-31,Charah Solutions Inc,627 MW coal-fired plant/Ohio,NRG Energy Inc,,,Completed
2021-05-27,Morgan Stanley,Produced water infrastructure assets/Hibernia Energy III LLC,Hibernia Energy LLC,,,Completed
2021-05-27,Morgan Stanley,Produced water infrastructure assets,Hibernia Energy LLC,,,Completed
2021-05-26,Vertex Energy Inc,Mobile Chemical LP Refinery,Shell PLC,75.0,,Completed
2021-05-26,Dometic Group AB,SNJ Enterprises Inc,Pulsetech Products Corp,,,Completed
2021-05-26,Volt Lithium Corp,1269280 BC Ltd,,,,Completed
2021-05-24,Coterra Energy Inc,Cimarex Energy Co,,8815.27,,Completed
2021-05-20,Diversified Energy Co PLC,Certain upstream assets & related infrastructure,Blackbeard Operating LLC,166.0,,Completed
2021-05-19,Octopus Renewables Infrastructure Trust PLC/The Fund,85.8MW onshore wind farm/Mirova US LLC,Octopus Capital Ltd,,,Completed
2021-05-19,Inter RAO UES PJSC,Sigma LLC,,,,Completed
2021-05-18,Solar Integrated Roofing Corp,Future Home Power,,,,Completed
2021-05-17,Spruce Power Holding Corp,World Energy Efficiency Services LLC,,15.0,,Completed
2021-05-17,Ranger Energy Services Inc,Patriot Completion Solutions LLC,"White Deer Management LLC (Fund: White Deer Energy LP II),Unknown Seller",10.86,,Completed
2021-05-17,Ranger Energy Services Inc,Patriot Completion Solutions LLC,White Deer Management LLC,,,Completed
2021-05-13,Saturn Oil & Gas Inc,Oxbow assets/Southeast Saskatchewan,Veren Inc,93.0,,Completed
2021-05-12,Dominion Energy Inc,Birdseye Renewable Energy LLC,BRE Holdings LLC,28.0,,Completed
2021-05-12,Versus Systems Inc,Xcite Interactive Inc,,15.91,,Completed
2021-05-12,Verde Bio Holdings Inc,Portfolio of mineral & royalty intrests,,1.1,,Completed
2021-05-12,TransAlta Renewables Inc,Portfolio of 303 MW asset,TransAlta Corp,,,Completed
2021-05-12,DTE Energy Co,Isabella Wind I and II projects/Isabella County,Greenlight Energy Resources Inc,,,Completed
2021-05-10,Civitas Resources Inc,Extraction Oil & Gas Inc,,1382.69,,Completed
2021-05-10,Nevada King Gold Corp,Iron Point Project,Prospector Metals Corp,2.8,,Completed
2021-05-10,Teho International Inc Ltd,9260 Bryant Street/Houston,Bryant Street Building Ltd,1.85,,Completed
2021-05-10,Visionary Metals Corp,State leases & unpatented mining claims,Innovative Exploration Ventures LLC,0.07,,Completed
2021-05-10,Avanti Helium Corp,Helium property/Alberta,,,,Completed
2021-05-09,Vital Energy Inc,Certain Assets,Sabalo Energy LLC,717.92,,Completed
2021-05-07,ESS Tech Inc,ESS Tech Subsidiary Inc,,563.0,,Completed
2021-05-07,Powertap Hydrogen Capital Corp,PowerTap Hydrogen Fueling Corp,,,,Completed
2021-05-06,EQT Corp,"Eqt Amd LLC,EQT ARO LLC",,2925.0,,Completed
2021-05-06,American Superconductor Corp,Neeltran Inc,,8.8,,Completed
2021-05-05,EnLink Midstream LLC,Amarillo Rattler LLC,,60.0,,Completed
2021-05-05,Global Clean Energy Holdings Inc,Agribody Technologies Inc,,,,Completed
2021-05-04,HollyFrontier Corp,Puget Sound Refinery,Shell PLC,350.0,,Completed
2021-05-04,Angel Wing Metals Inc,17 patented mining claims/Ontario,,0.82,,Completed
2021-05-04,Zephyr Energy PLC,Continental acreage/Williston Basin,Continental Resources Inc/OK,0.17,,Completed
2021-05-03,Chord Energy Corp,Williston Basin assets/Diamondback Energy Inc,Diamondback Energy Inc,745.0,,Completed
2021-05-03,Basic Energy Services Inc,Certain real property/California,,10.5,,Completed
2021-05-03,Xebec Adsorption Inc,Nortekbelair Corp,,4.89,,Completed
2021-05-03,Energy Services of America Corp,Revolt Energy Inc,,,,Completed
2021-05-01,Replenish Nutrients Holding Co,Replenish Nutrients Ltd,,7.33,,Completed
2021-04-30,Diversified Energy Co PLC,Cotton Valley upstream assets & related facilities/Louisiana,Indigo Minerals LLC,135.0,,Completed
2021-04-30,Zenith Energy Ltd,Ecumed Petroleum Tunisia Ltd,Candax Energy Inc,0.2,,Completed
2021-04-29,Williams Cos Inc/The,"Sequent Energy Management LLC,Sequent Energy Canada LLC",Southern Co/The,,,Completed
2021-04-28,SPX FLOW Inc,Philadelphia Mixing Solutions LLC,Genesis Energy LP,65.0,,Completed
2021-04-28,Medaro Mining Corp,CYR South Lithium Property/Quebec,Geomap Exploration Inc,0.02,,Completed
2021-04-26,Hanwha Corp,Genie Japan LLC,Genie Energy Ltd,6.66,,Completed
2021-04-26,Hercules Metals Corp,1218530 BC Ltd,,0.24,,Completed
2021-04-26,Clearway Energy Inc,Mt Storm Wind Project,Castleton Commodities International LLC,,,Completed
2021-04-23,Hainan Mining Co Ltd,Roc Oil Chengdu Ltd,EOG Resources Inc,126.79,,Completed
2021-04-22,American Electric Power Co Inc,100 MW Dry Lake Solar Project,,114.0,,Completed
2021-04-21,Trans Canada Gold Corp,Gold Crow Gold Property,,0.74,,Completed
2021-04-21,Verde Bio Holdings Inc,Permian basin/Texas,,0.43,,Completed
2021-04-20,American Energy Partners Inc,Portfolio of 3 existing oil and gas operators/US,,10.85,,Completed
2021-04-20,Goldeneye Resources Corp,Big Mike Precious Metals Project,Granby Gold Inc,0.16,,Completed
2021-04-20,Permex Petroleum Corp,11 horizontal oil & gas wells/Midland,,,,Completed
2021-04-20,Southern Co/The,118 MW glass sands wind facility,Vestas Wind Systems A/S,,,Completed
2021-04-19,XPLR Infrastructure LP,Portfolio of 4 operating wind assets/US,Brookfield Renewable Partners LP,733.0,,Completed
2021-04-19,Reconnaissance Energy Africa Ltd,Renaissance Oil Corp,,45.24,,Completed
2021-04-16,Orsted AS,Brookfield Renewable Ireland Ltd,Brookfield Renewable Partners LP,684.12,,Completed
2021-04-15,Urbana Corp,Blue Ocean Technologies LLC,,8.5,,Completed
2021-04-15,Verde Bio Holdings Inc,Mineral & royalty interests/Wyoming,,0.5,,Completed
2021-04-14,Argo Corp,Ecocred LLC,Exelon Corp,0.74,,Completed
2021-04-14,Eos Energy Enterprises Inc,HI-Power LLC,Holtec International Corp,0.03,,Completed
2021-04-14,Eos Energy Enterprises Inc,HI-Power LLC,,,,Completed
2021-04-12,Tamarack Valley Energy Ltd,Anegada Oil Corp,,386.78,,Completed
2021-04-12,American Noble Gas Inc,Leasehold properties/Kansas,Core Energy LLC,0.9,,Completed
2021-04-09,Sunworks Inc,Solcius LLC,Solcius Holdings LLC,51.75,,Completed
2021-04-08,Enerplus Corp,Williston Basin asset/Hess Corp,Hess Corp,312.0,,Completed
2021-04-08,Eversource Energy,New England Service Co,,,,Completed
2021-04-07,Archaea Energy Inc,"Aria Energy Operating LLC,Archaea Energy LLC",,558.0,,Completed
2021-04-06,Sdcl Energy Efficiency Income Trust PLC,RED-Rochester LLC,Stonepeak Partners LP,177.0,,Completed
2021-04-06,Hillcrest Energy Technologies,ANIGO Technologies Inc,,1.17,,Completed
2021-04-06,iSun Inc,Intellectual property/Oakwood Construction Services Inc,Oakwood Construction Services Inc,1.0,,Completed
2021-04-06,VVC Exploration Corp,1720 acre gas well property/Greely County,Monarch Petroleum Corp,,,Completed
2021-04-05,Whitecap Resources Inc,Kicking Horse Oil & Gas Ltd,Quantum Energy Partners LLC,300.0,,Completed
2021-04-05,DNOW Inc,Flex Flow Services LLC,GR Energy Services LLC,90.0,,Completed
2021-04-02,Global Tech Industries Group Inc,Bronx Family Eye Care Inc,,,,Completed
2021-04-01,Pioneer Natural Resources Co,DoublePoint Energy LLC,"Apollo Asset Management Inc,Blackstone Alternative Credit Advisors LP,Magnetar Capital Partners LP,Quantum Energy Partners LLC,Unbridled Resources LLC,Double Eagle Energy Holdings III LLC",6290.59,,Completed
2021-04-01,Earthstone Energy Inc,Operated assets/Midland Basin,"Tracker Resource Development III LLC,Sequel Energy Group LLC",129.8,,Completed
2021-03-29,Zephyr Energy PLC,5 oil wells/Bakken Formation,,8.2,,Completed
2021-03-29,Southern Co/The,Deuel Harvest Wind Farm,Invenergy LLC,,,Completed
2021-03-29,Bocana Resources Corp,Bocana Resources Ltd,American Future Fuel Corp,,,Completed
2021-03-26,ROK Resources Inc,Southeastern Saskatchewan oil properties,,1.5,,Completed
2021-03-24,Digihost Technology Inc,60 MW power plant/New York,,4.67,,Completed
2021-03-23,VirExit Technologies Inc,Lexian Products Inc,,,,Completed
2021-03-22,Oasis Midstream Partners LP,"Bobcat DevCo LLC,Beartooth DevCo LLC",Chord Energy Corp,510.69,,Completed
2021-03-22,XState Resources Ltd,Oil producing asset/Alberta,,0.68,,Completed
2021-03-18,PPL Corp,Narragansett Electric Co/The,National Grid PLC,3770.0,,Completed
2021-03-17,ROK Resources Inc,Certain producing oil & gas assets/Saskatchewan,,1.51,,Completed
2021-03-17,808 Renewable Energy Corp,SilverLight Aviation LLC,,,,Completed
2021-03-16,Crestview Exploration Inc,Additional 40 claims/Cimarron gold prospect,,,,Completed
2021-03-15,Empire Petroleum Corp,Oil and gas properties/New Mexico,Exxon Mobil Corp,17.8,,Completed
2021-03-12,Vencanna Ventures Inc,Cannavative Group LLC/The,,224.3,,Completed
2021-03-11,Singularity Future Technology,2783 digital currency mining servers,Hebei Yanghuai Technology Co Ltd,4.62,,Completed
2021-03-11,Novonesis (Novozymes) B,Biota Technology Inc,,,,Completed
2021-03-10,Orpheum Property Inc,KLMKH Inc,,,,Completed
2021-03-10,Power Corp of Canada,3 distributed generation solar projects,Walden Renewables Development LLC,,,Completed
2021-03-09,Secure Waste Infrastructure Co,Tervita Corp,,1011.22,8.53,Completed
2021-03-09,AMF Hawaii Investments LLC,Cyrq Energy Inc,,,,Completed
2021-03-09,Equifax Inc,HireTechs.com,Green Day Technologies Inc,,,Completed
2021-03-09,Pilot Corp,Felix Water LLC,Felix Energy LLC,,,Completed
2021-03-08,AXP Energy Ltd,Magnum Hunter Production Inc,NGAS Resources Inc,0.05,,Completed
2021-03-05,Chevron Corp,Noble Midstream Partners LP,,454.5,4.62,Completed
2021-03-05,Tamarack Valley Energy Ltd,oil and gas assets and exploration lands/Alberta,,106.83,,Completed
2021-03-04,Continental Resources Inc/OK,Powder River Basin properties/WY,,206.6,,Completed
2021-03-03,Scryb Inc,Cybeats Technologies Inc,"ScaleXtreme Inc,MaRS Investment Accelerator Fund,Unknown Seller,GreenSoil Investments (Fund: Greensoil Building Innovation Fund),iNovia Capital (Fund: iNovia Investment Fund 2015 LP),Maple Leaf Angels (Fund: MLA48 Fund II),Ripple Ventures (Fund: Ripple Ventures Fund I LP)",5.69,,Completed
2021-03-02,SUNation Energy Inc,Pineapple Energy LLC,,87.56,,Completed
2021-02-28,Reliance Industries Ltd,SkyTran Inc,,26.76,,Completed
2021-02-28,Global Tech Industries Group Inc,Gold Transactions International Inc,,5.13,,Completed
2021-02-26,Parkland Corp,Conrad & Bischoff Inc,,,,Completed
2021-02-25,Calima Energy Ltd,Blackspur Oil Corp,,54.02,,Completed
2021-02-25,Nexera Energy Inc,Cotulla Vacuum Services Ltd,,0.62,,Completed
2021-02-25,Singlepoint Inc,Box Pure Air LLC,,0.5,,Completed
2021-02-25,Recharge Resources Ltd,Brussels Creek gold-copper-palladium property/Kamloops Mining District,Syber Mining Corp,0.3,,Completed
2021-02-24,ReNew Energy Global PLC,ReNew Power Pvt Ltd,"Piramal Enterprises Ltd,Canada Pension Plan Investment Board,Abu Dhabi Investment Authority,Private Investor,GEF Management Corp (Fund: South Asia Clean Energy Fund),Goldman Sachs Group Inc/The (Fund: West Street Energy Partners LP),Asian Development Bank (Fund: Asia Climate Partners LP),JERA...",1200.0,1.95,Completed
2021-02-24,Cleanspark Inc,Solar Watt Solutions Inc,,18.06,,Completed
2021-02-24,Crestview Exploration Inc,Cimarron gold prospect/The,Ely Gold Royalties Inc,0.18,,Completed
2021-02-22,Brookfield Infrastructure Corp,Inter Pipeline Ltd,,10949.35,15.14,Completed
2021-02-22,Enovix Corp,ENOVIX Operations Inc,,463.0,,Completed
2021-02-22,Advent Technologies Holdings I,UltraCell LLC,Bren-Tronics Inc,,,Completed
2021-02-19,Ambipar Participacoes e Empreendimentos S/A,Orion Environmental Services Ltd,,,,Completed
2021-02-18,Veren Inc,Kaybob Duvernay assets/Shell Canada Energy,Shell PLC,854.19,,Completed
2021-02-18,Camber Energy Inc,Viking Energy Group Inc,,14.96,,Completed
2021-02-17,Energy Transfer LP,Enable Midstream Partners LP,,6792.52,7.61,Completed
2021-02-17,Sunnova Energy International Inc,SunStreet Energy Group LLC,Lennar Corp,162.73,,Completed
2021-02-16,Green Impact Partners Inc,Development & Clean Energy Assets,Wolverine Energy & Infrastructure Inc,118.15,,Completed
2021-02-16,Spartan Delta Corp,Inception Exploration Ltd,,,,Completed
2021-02-12,Andean Precious Metals Corp,1254688 BC Ltd,,32.86,,Completed
2021-02-10,ARC Resources Ltd,Seven Generations Energy Ltd,,3647.16,,Completed
2021-02-09,Applied UV Inc,Certain key assets/US,Akida Holdings LLC,7.89,,Completed
2021-02-09,Cadillac Ventures Inc,KFG Resources Ltd,,0.4,,Completed
2021-02-08,Drax Group PLC,Pinnacle Renewable Energy Inc,,601.12,12.37,Completed
2021-02-05,AirNet Technology Inc,Computer servers/Northern Shore Group Ltd,Northern Shore Group Ltd,71.93,,Completed
2021-02-04,CorEnergy Infrastructure Trust Inc,Crimson Midstream Holdings LLC,"Unnamed Seller,Carlyle Group Inc/The (Fund: Carlyle Global Infrastructure Opportunity Fund LP)",195.0,,Completed
2021-02-04,Northern Oil and Gas Inc,Certain non operated natural gas assets,Reliance Industries Ltd,120.9,,Completed
2021-02-04,Ecofin US Renewables Infrastructure Trust PLC,4 Seed asset,,24.5,,Completed
2021-02-03,Argo Blockchain PLC,Portfolio of 2 data centres/Quebec,GPU.One Holding Inc,,,Completed
2021-02-02,Singlepoint Inc,EnergyWyze LLC,,,,Completed
2021-02-02,IBI Group Inc,Peters Energy Solutions Inc,,,,Completed
2021-02-02,Ocean Power Technologies Inc,3dent Technology LLC,,,,Completed
2021-02-01,Contango Oil & Gas Co,Silvertip project/US,,58.0,,Completed
2021-02-01,Rexel SA,WESCO Utility business,WESCO International Inc,,,Completed
2021-02-01,AMEN Properties Inc,Satori Energy Solutions LLC,,,,Completed
2021-01-31,Shandong Xinchao Energy Corp Ltd,Leasehold interest & producing wells/Howard County,Grenadier Energy Partners II LLC,420.0,,Completed
2021-01-26,Superior Plus Corp,Holden Oil Inc,,,,Completed
2021-01-26,Enphase Energy Inc,Sofdesk Inc,Wave Media Group LLC,,,Completed
2021-01-26,HB Fuller Co,Solar Encapsulant business,STR Holdings Inc,,,Completed
2021-01-25,Enerplus Corp,Bruin E&P HoldCo LLC,,465.0,,Completed
2021-01-25,OPC Energy Ltd,Competitive Power Ventures Holdings LLC,Global Infrastructure Management LLC,,,Completed
2021-01-25,OPC Energy Ltd,CPV Renewable Power LP,Global Infrastructure Management LLC,,,Completed
2021-01-22,Dagang NeXchange Bhd,Ping Petroleum Ltd,,60.31,,Completed
2021-01-22,Net Zero Renewable Energy Inc,Windular Research & Technologies Inc,,11.78,,Completed
2021-01-22,Link Reservations Inc,DailyLifeCBD,,,,Completed
2021-01-21,Solar Integrated Roofing Corp,Enerev LLC,,,,Completed
2021-01-21,SPI Energy Co Ltd,Certain assets/Petersen-Dean,Petersen-Dean Inc,,,Completed
2021-01-18,EDP Renovaveis SA,C2 Omega LLC,C2 Energy Capital LLC,,,Completed
2021-01-15,Naturgy Energy Group SA,Hamel Renewables LLC,,57.0,,Completed
2021-01-15,Boralex Inc,Moose Lake wind farm/British Columbia,Aeolis Wind Power Corp,2.75,,Completed
2021-01-15,Angel Wing Metals Inc,Mineral exploration properties/Ontario,,0.05,,Completed
2021-01-13,New Fortress Energy Inc,Hygo Energy Transition Ltd,"Golar LNG Ltd,Stonepeak Partners LP (Fund: Stonepeak Infrastructure Fund II LP)",2289.13,,Completed
2021-01-13,New Fortress Energy Inc,CH4 Energia Ltda,"Vibra Energia SA,Camacari Muricy II SA,Pecem Energia SA,CCETC Brasil Holding SA",9.43,,Completed
2021-01-13,Three Sixty Solar Ltd,Victory Exploration Inc/Canada,,0.78,,Completed
2021-01-08,Green Stream Holdings Inc,Chuck's Vintage Inc,,,,Completed
2021-01-07,Muzali Arts Ltd,Jalan Jalan Collection Inc,,,,Completed
2021-01-07,CK Power PCL,Terramac LLC,,,,Completed
2021-01-05,iSun Inc,iSun Energy LLC,,,,Completed
2021-01-05,DCC PLC,United Propane Gas Inc,,,,Completed
2021-01-05,"Ospraie Management LLC,Green Plains Inc",Fluid Quip Technologies LLC,,,,Completed
2021-01-04,Teledyne Technologies Inc,FLIR Systems Inc,,4183.26,9.87,Completed
2021-01-04,Ecofin US Renewables Infrastructure Trust PLC,Portfolio of 11.3 MW solar assets/Massachusetts & Connecticut,,21.1,,Completed
2021-01-04,Synex Renewable Energy Corp,Sea Breeze Power Corp,,,,Completed
2020-12-31,US Solar Fund PLC/Fund,Mount Signal 2,New Energy Solar Ltd,23.0,,Completed
2020-12-30,Wajax Corp,Tundra Process Solutions Ltd,,77.63,,Completed
2020-12-24,Camber Energy Inc,Viking Energy Group Inc,,146.5,16.29,Completed
2020-12-24,Sdcl Energy Efficiency Income Trust PLC,Portfolios of commercial & industrial on-site solar and energy storage/US,Blackstone Inc,120.0,,Completed
2020-12-23,Ecofin US Renewables Infrastructure Trust PLC,"4.8 MW commercial rooftop solar project/California,7.1 MW ground-mount solar project/Massachusetts",,10.9,,Completed
2020-12-23,Sayona Mining Ltd,Tansim lithium project/Quebec,Quebec Precious Metals Corp,0.19,,Completed
2020-12-23,Ameren Corp,400 MW project/Missouri,,,,Completed
2020-12-23,TransAlta Renewables Inc,"Skookumchuck Wind Project/Washington,Ada cogeneration facility/Michigan",TransAlta Corp,,,Completed
2020-12-23,BlackRock Inc,945 MW natural gas fired power plant/Heard County,TCT Generation Holdings LLC,,,Completed
2020-12-21,Diamondback Energy Inc,QEP Resources Inc,,2183.83,3.71,Completed
2020-12-21,Diamondback Energy Inc,Guidon Operating LLC,,858.26,,Completed
2020-12-21,Enbridge Inc,Crude oil terminalling segment,Blueknight Energy Partners LP,132.0,,Completed
2020-12-18,Earthstone Energy Inc,Independence Resources Management LLC,"Private Investor,Warburg Pincus LLC (Fund: Warburg Pincus Private Equity XI LP),Warburg Pincus LLC (Fund: Warburg Pincus Energy Fund LP)",184.44,,Completed
2020-12-17,Boston Omaha Corp,Utah Broadband LLC,Aero Energy Ltd,20.92,,Completed
2020-12-16,Energy Services of America Corp,West Virginia Pipeline Inc,,6.5,,Completed
2020-12-16,Ormat Technologies Inc,Shovel Ready Project/Texas,Consolidated Edison Inc,,,Completed
2020-12-16,BP PLC,Finite Carbon Corp,,,,Completed
2020-12-15,TC Energy Corp,TC PipeLines LP,,3771.13,13.77,Completed
2020-12-15,Chart Industries Inc,Sustainable Energy Solutions Inc,,20.0,,Completed
2020-12-15,Stakeholder Midstream LLC,Gas gathering and processing assets/Santa Fe Midstream LLC,Santa Fe Midstream LLC,,,Completed
2020-12-15,Canadian Overseas Petroleum Ltd,Atomic Oil & Gas LLC,,,,Completed
2020-12-14,Murphy USA Inc,Quick Chek Corp,,645.0,,Completed
2020-12-14,Tamarack Valley Energy Ltd,Clearwater Assets,Highwood Asset Management Ltd,31.95,,Completed
2020-12-14,Algonquin Power & Utilities Corp,439MW onshore wind farms,RWE AG,,,Completed
2020-12-09,"Brookfield Renewable Partners LP,Private Investor",Solar business/Exelon Generation Co LLC,Exelon Corp,810.0,,Completed
2020-12-08,Whitecap Resources Inc,TORC Oil & Gas Ltd,,625.16,,Completed
2020-12-08,Largo Inc,Certain assets/Vionx Energy Corp,Vionx Energy Corp,,,Completed
2020-12-07,ContourGlobal PLC,Portfolio of natural gas-fired & Combined Heat & Power assets,Western Generation Partners LLC,837.0,,Completed
2020-12-07,ITOCHU Corp,Bay4 Energy Services LLC,,,,Completed
2020-12-04,Stem Inc,Rollins Road Acquisition Co,"Exelon Corp,TotalEnergies SE,Mitsui & Co Ltd,RWE AG,Iberdrola SA,Temasek Holdings Pte Ltd,Ontario Teachers' Pension Plan Board,EFW Partners LLC,Angeleno Group LLC (Fund: Angeleno Investors III LP),Mithril Capital Management LLC (Fund: Mithril LP),GE Ventures,Activate Capital Ltd,Magnesium Cap...",608.0,,Completed
2020-12-04,Public Service Enterprise Group Inc,Ocean Wind Project/NJ,Orsted AS,,,Completed
